,type,name,plate,well,volume,note
0,Promoter,(P)1,Stocking_plate_1,A1,10000,
1,Promoter,(P)2,Stocking_plate_1,A2,10000,
2,Promoter,(P)3,Stocking_plate_1,A3,10000,
3,Promoter,(P)4,Stocking_plate_1,A4,10000,
4,Promoter,(P)5,Stocking_plate_1,A5,10000,
5,Promoter,(P)6,Stocking_plate_1,A6,10000,
6,Promoter,(P)7,Stocking_plate_1,A7,10000,
7,Promoter,(P)8,Stocking_plate_1,A8,10000,
8,CDS,(C)A,Stocking_plate_1,B1,10000,
9,CDS,(C)B,Stocking_plate_1,B2,10000,
10,CDS,(C)C,Stocking_plate_1,B3,10000,
11,CDS,(C)D,Stocking_plate_1,B4,10000,
12,CDS,(C)E,Stocking_plate_1,B5,10000,
13,CDS,(C)F,Stocking_plate_1,B6,10000,
14,CDS,(C)G,Stocking_plate_1,B7,10000,
15,CDS,(C)H,Stocking_plate_1,B8,10000,
16,Terminator,(T)1,Stocking_plate_1,C1,10000,
17,Terminator,(T)2,Stocking_plate_1,C2,10000,
18,Terminator,(T)3,Stocking_plate_1,C3,10000,
19,Terminator,(T)4,Stocking_plate_1,C4,10000,
20,Terminator,(T)5,Stocking_plate_1,C5,10000,
21,Terminator,(T)6,Stocking_plate_1,C6,10000,
22,Terminator,(T)7,Stocking_plate_1,C7,10000,
23,Terminator,(T)8,Stocking_plate_1,C8,10000,
24,GGAmix,GGAmix,GGAmix_plate,A1,10000,
25,Connector,(N)1|2,Stocking_plate_1,D2,10000,
26,Connector,(N)s|1,Stocking_plate_1,D3,10000,
27,Connector,(N)2|3,Stocking_plate_1,D4,10000,
28,Connector,(N)2|e,Stocking_plate_1,D5,10000,
29,Connector,(N)8|9,Stocking_plate_1,D6,10000,
30,Connector,(N)3|4,Stocking_plate_1,D7,10000,
31,Connector,(N)3|e,Stocking_plate_1,D8,10000,
32,Connector,(N)9|e,Stocking_plate_1,E1,10000,
33,Connector,(N)4|5,Stocking_plate_1,E2,10000,
34,Connector,(N)4|e,Stocking_plate_1,E3,10000,
35,Connector,(N)5|6,Stocking_plate_1,E4,10000,
36,Connector,(N)5|e,Stocking_plate_1,E5,10000,
37,Connector,(N)6|7,Stocking_plate_1,E6,10000,
38,Connector,(N)6|e,Stocking_plate_1,E7,10000,
39,Connector,(N)7|8,Stocking_plate_1,E8,10000,
40,Connector,(N)7|e,Stocking_plate_1,F1,10000,
41,Connector,(N)1|e,Stocking_plate_1,F2,10000,
42,Connector,(N)8|e,Stocking_plate_1,F3,10000,
43,Vector,Vector,Vector_plate,A1,10000,
