Promoter,CDS,Temperature,pH,Inducer_Conc,Expression_Level,Unnamed: 0,Well,Sample_ID
P1,Gene_A,30.2,7.1,0.5,125.3,,,
P2,Gene_B,32.1,7.3,0.8,98.7,,,
P3,Gene_A,28.5,6.9,0.3,87.2,,,
P1,Gene_C,35.0,7.2,0.9,142.8,,,
P2,Gene_B,30.8,7.0,0.6,115.5,,,
P4,Gene_D,29.3,7.4,0.4,103.2,,,
P3,Gene_C,31.7,6.8,0.7,91.4,,,
P1,Gene_B,33.2,7.1,1.0,138.9,,,
P2,Gene_A,27.8,7.5,0.2,79.6,,,
P4,Gene_C,34.5,6.7,0.8,119.7,,,
P3,Gene_B,30.0,7.2,0.5,102.3,,,
P1,Gene_D,32.8,7.0,0.6,127.4,,,
P2,Gene_C,29.1,7.3,0.9,108.6,,,
P4,Gene_A,31.4,6.9,0.4,95.8,,,
P3,Gene_D,28.9,7.4,0.7,89.3,,,
P1,Gene_A,30.7,7.1,0.8,133.2,,,
P2,Gene_D,33.5,7.2,0.3,112.7,,,
P4,Gene_B,27.2,6.8,0.6,84.9,,,
P3,Gene_A,35.1,7.0,1.0,118.4,,,
P1,Gene_C,29.8,7.5,0.5,129.6,,,
P1,Gene_D,34.56098176450298,6.7,0.9122598161138248,190.0,0.0,A01,Sample_001
P1,Gene_A,35.1,6.7,1.0,206.7,1.0,A02,Sample_002
P1,Gene_D,35.1,6.7,0.9329934886589508,244.6,2.0,A03,Sample_003
P1,Gene_D,33.83008824469663,6.714770708682584,1.0,144.7,3.0,A04,Sample_004
P1,Gene_D,35.1,6.803951745141159,1.0,169.1,4.0,A05,Sample_005
P1,Gene_C,35.1,6.797365663758409,0.9306283075160358,139.6,5.0,A06,Sample_006
P1,Gene_D,35.1,6.745351525662967,1.0,277.4,6.0,A07,Sample_007
P2,Gene_C,35.1,6.737906633672943,0.9868399652670476,198.1,7.0,A08,Sample_008
P1,Gene_C,34.34594716305048,6.7,1.0,203.6,8.0,A09,Sample_009
P1,Gene_C,35.1,6.7,0.9110002116536442,159.1,9.0,A10,Sample_010
P1,Gene_C,35.1,6.7,0.8945143871393509,113.4,10.0,A11,Sample_011
P1,Gene_C,35.1,6.7,1.0,183.7,11.0,A12,Sample_012
P1,Gene_C,35.1,6.818387902015885,0.970150464827971,135.8,12.0,B01,Sample_013
P1,Gene_D,35.00193541278349,6.759227265435819,1.0,200.6,13.0,B02,Sample_014
P1,Gene_C,33.90327069249817,6.7,0.9322565025545276,49.6,14.0,B03,Sample_015
P1,Gene_C,35.1,6.841034997784258,0.9589627745891502,73.6,15.0,B04,Sample_016
P2,Gene_D,35.1,6.728622988827863,0.908182402174,140.8,16.0,B05,Sample_017
P1,Gene_C,34.0116411993139,6.7,1.0,144.9,17.0,B06,Sample_018
P1,Gene_C,35.1,6.741203814904484,1.0,153.1,18.0,B07,Sample_019
P1,Gene_C,35.1,6.752111300104464,1.0,175.4,19.0,B08,Sample_020
